CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
TOTAL	Total	Total	Insgesamt	Y			
PRD	Production	Production	Produktion	Y			
PPRD	Primary production	Production primaire	Primärproduktion	Y			
PPRD_RED	Primary production - Renewable Energy Directive	Production primaire - Directive sur les énergies renouvelables	Primärproduktion - Erneuerbare-Energien-Richtlinie	Y			
IPRD	Indigenous production	Production nationale	Inlandsproduktion	Y			
IPRD_AG	Indigenous production - associated gas	Production nationale - gaz associé	Inlandsproduktion - Begleitgas	Y			
IPRD_NAG	Indigenous production - non-associated gas	Production nationale - gaz non-associé	Inlandsproduktion - unabhängig vorhandenes Gas	Y			
IPRD_CG	Indigenous production - colliery gas	Production nationale - gaz de mine	Inlandsproduktion - Grubengas	Y			
IPRD_SB	Indigenous production - solid biofuels	Production nationale - biocarburants solides	Inlandsproduktion - feste Biobrennstoffe	Y			
IPRD_LB	Indigenous production - liquid biofuels	Production nationale - biocarburants liquides	Inlandsproduktion - flüssige Biobrennstoffe	Y			
IPRD_GB	Indigenous production - gaseous biofuels	Production nationale - biocarburants gazeux	Inlandsproduktion - gasförmige Biobrennstoffe	Y			
UPRD	Underground production	Production en sous-sol	Produktion untertage	Y			
SPRD	Surface production	Production en surface	Produktion im Tagebau	Y			
NPRD	Net production	Production nette	Nettoerzeugung	Y			
PRD_OTH	Other production	Autre production	Sonstige Produktion	Y			
TOS	Transfer from other sources	Transfert d'autres sources	Übertragungen aus anderen Quellen	Y			
TOS_OIL	Transfer from other sources - oil	Transfert d'autres sources - pétrole	Übertragungen aus anderen Quellen - Öl	Y			
TOS_COAL	Transfer from other sources - coal	Transfert d'autres sources - charbon	Übertragungen aus anderen Quellen - Kohle	Y			
TOS_REN	Transfer from other sources - renewables	Transfert d'autres sources - renouvelables	Übertragungen aus anderen Quellen - erneuerbare Quellen	Y			
TOS_NGAS	Transfer from other sources - natural gas	Transfert d'autres sources - gaz naturel	Übertragungen aus anderen Quellen - Erdgas	Y			
IDCO	Into direct carry-over	Vers transfert direct	Zum direkten Übertrag	Y			
FDCO	From direct carry-over	Du transfert direct	Vom direkten Übertrag	Y			
RCV_RCY	Recovered and recycled products	Produits récupérés et recyclés	Wiedergewinnung und wiederverwertete Produkte	Y			
IMP	Imports	Importations	Einfuhren	Y			
IMP_NET	Net imports	Importations nettes	Nettoeinfuhren	Y			
IMP_FROM_EU	Imports from EU	Importations intra-UE	Einfuhren aus EU Ländern	Y			
