CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
b	break in time series	rupture de série	Zeitreihenbruch		with statistical value or ':'		
bd	break in time series, definition differs (see metadata)	rupture de série, définition différente (voir métadonnées)	Zeitreihenbruch, abweichende Definition (siehe Metadaten)		with statistical value or ':'		
bde	break in time series, definition differs (see metadata), estimated	rupture de série, définition différente (voir métadonnées), estimé	Zeitreihenbruch, abweichende Definition (siehe Metadaten), geschätzt		only with statistical value		
bdep	break in time series, definition differs (see metadata), estimated, provisional	rupture de série, définition différente (voir métadonnées), estimé, provisoire	Zeitreihenbruch, abweichende Definition (siehe Metadaten), geschätzt, vorläufig		only with statistical value (not recommended)		
bdf	break in time series, definition differs (see metadata), forecast	rupture de série, définition différente (voir métadonnées), prévision	Zeitreihenbruch, abweichende Definition (siehe Metadaten), Prognose		only with statistical value		
bdn	break in time series, definition differs (see metadata), not significant	rupture de série, définition différente (voir métadonnées), non significatif	Zeitreihenbruch, abweichende Definition (siehe Metadaten), unbedeutend		only with 0 (less than half of the unit used and different from real zero)		
bdp	break in time series, definition differs (see metadata), provisional	rupture de série, définition différente (voir métadonnées), provisoire	Zeitreihenbruch, abweichende Definition (siehe Metadaten), vorläufig		only with statistical value		
bdu	break in time series, definition differs (see metadata), low reliability	rupture de série, définition différente (voir métadonnées), peu fiable	Zeitreihenbruch, abweichende Definition (siehe Metadaten), geringe Zuverlässigkeit		with statistical value or ':'		
be	break in time series, estimated	rupture de série, estimé	Zeitreihenbruch, geschätzt		only with statistical value		
bep	break in time series, estimated, provisional	rupture de série, estimé, provisoire	Zeitreihenbruch, geschätzt, vorläufig		only with statistical value (not recommended)		
bf	break in time series, forecast	rupture de série, prévision	Zeitreihenbruch, Prognose		only with statistical value		
bn	break in time series, not significant	rupture de série, non significatif	Zeitreihenbruch, unbedeutend		only with 0 (less than half of the unit used and different from real zero)		
bp	break in time series, provisional	rupture de série, provisoire	Zeitreihenbruch, vorläufig		only with statistical value		
bpu	break in time series, provisional, low reliability	rupture de série, provisoire, peu fiable	Zeitreihenbruch, vorläufig, geringe Zuverlässigkeit		only with statistical value		
bu	break in time series, low reliability	rupture de série, peu fiable	Zeitreihenbruch, geringe Zuverlässigkeit		with statistical value or ':'		
bz	break in time series, not applicable	rupture de série, non applicable	Zeitreihenbruch, nicht zutreffend		only with ':'		
d	definition differs (see metadata)	définition différente (voir métadonnées)	abweichende Definition (siehe Metadaten)		with statistical value or ':'		
de	definition differs (see metadata), estimated	définition différente (voir métadonnées), estimé	abweichende Definition (siehe Metadaten), geschätzt		only with statistical value		
dep	definition differs (see metadata), estimated, provisional	définition différente (voir métadonnées), estimé, provisoire	abweichende Definition (siehe Metadaten), geschätzt, vorläufig		only with statistical value (not recommended)		
df	definition differs (see metadata), forecast	définition différente (voir métadonnées), prévision	abweichende Definition (siehe Metadaten), Prognose		only with statistical value		
dn	definition differs (see metadata), not significant	définition différente (voir métadonnées), non significatif	abweichende Definition (siehe Metadaten), unbedeutend		only with 0 (less than half of the unit used and different from real zero)		
dp	definition differs (see metadata), provisional	définition différente (voir métadonnées), provisoire	abweichende Definition (siehe Metadaten), vorläufig		only with statistical value		
dpu	definition differs (see metadata), provisional, low reliability	définition différente (voir métadonnées), provisoire, peu fiable	abweichende Definition (siehe Metadaten), vorläufig, geringe Zuverlässigkeit		only with statistical value		
du	definition differs (see metadata), low reliability	définition différente (voir métadonnées), peu fiable	abweichende Definition (siehe Metadaten), geringe Zuverlässigkeit		with statistical value or ':'		
e	estimated	estimé	geschätzt		only with statistical value		
ep	estimated, provisional	estimé, provisoire	geschätzt, vorläufig		only with statistical value (not recommended)		
f	forecast	prévision	Prognose		only with statistical value		
n	not significant	non significatif	unbedeutend		only with 0 (less than half of the unit used and different from real zero)		
p	provisional	provisoire	vorläufig		only with statistical value		
pu	provisional, low reliability	provisoire, peu fiable	vorläufig, geringe Zuverlässigkeit		only with statistical value		
u	low reliability	peu fiable	geringe Zuverlässigkeit		with statistical value or ':'		
bdip	break in time series, definition differs (see metadata), value imputed by Eurostat or other receiving agencies, provisional	rupture de série, définition différente (voir métadonnées), valeur imputée par Eurostat ou d'autres organismes destinataires, provisoire	Zeitreihenbruch, abweichende Definition (siehe Metadaten), von Eurostat oder anderen Empfangsstellen imputierter Wert, vorläufig				
bdi	break in time series, definition differs (see metadata), value imputed by Eurostat or other receiving agencies	rupture de série, définition différente (voir métadonnées), valeur imputée par Eurostat ou d'autres organismes destinataires	Zeitreihenbruch, abweichende Definition (siehe Metadaten), von Eurostat oder anderen Empfangsstellen imputierter Wert				
bdm	break in time series, definition differs (see metadata), missing value; data cannot exist	rupture de série, définition différente (voir métadonnées), valeur manquante; les données ne peuvent pas exister	Zeitreihenbruch, abweichende Definition (siehe Metadaten), fehlender Wert; Daten können nicht vorhanden sein				
bip	break in time series, value imputed by Eurostat or other receiving agencies, provisional	rupture de série, valeur imputée par Eurostat ou d'autres organismes destinataires, provisoire	Zeitreihenbruch, von Eurostat oder anderen Empfangsstellen imputierter Wert, vorläufig				
bi	break in time series, value imputed by Eurostat or other receiving agencies	rupture de série, valeur imputée par Eurostat ou d'autres organismes destinataires	Zeitreihenbruch, von Eurostat oder anderen Empfangsstellen imputierter Wert				
bm	break in time series, missing value; data cannot exist	rupture de série, valeur manquante; les données ne peuvent pas exister	Zeitreihenbruch, fehlender Wert; Daten können nicht vorhanden sein				
dip	definition differs (see metadata), value imputed by Eurostat or other receiving agencies, provisional	définition différente (voir métadonnées), valeur imputée par Eurostat ou d'autres organismes destinataires, provisoire	abweichende Definition (siehe Metadaten), von Eurostat oder anderen Empfangsstellen imputierter Wert, vorläufig				
di	definition differs (see metadata), value imputed by Eurostat or other receiving agencies	définition différente (voir métadonnées), valeur imputée par Eurostat ou d'autres organismes destinataires	abweichende Definition (siehe Metadaten), von Eurostat oder anderen Empfangsstellen imputierter Wert				
dm	definition differs (see metadata), missing value; data cannot exist	définition différente (voir métadonnées), valeur manquante; les données ne peuvent pas exister	abweichende Definition (siehe Metadaten), fehlender Wert; Daten können nicht vorhanden sein				
ip	value imputed by Eurostat or other receiving agencies, provisional	valeur imputée par Eurostat ou d'autres organismes destinataires, provisoire	von Eurostat oder anderen Empfangsstellen imputierter Wert, vorläufig				
i	value imputed by Eurostat or other receiving agencies	valeur imputée par Eurostat ou d'autres organismes destinataires	von Eurostat oder anderen Empfangsstellen imputierter Wert				
m	missing value; data cannot exist	valeur manquante; les données ne peuvent pas exister	fehlender Wert; Daten können nicht vorhanden sein				
