CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
TOTAL	Total	Total	Insgesamt	Y			
NR	Number	Nombre	Anzahl	Y			
NR_HAB	Number per inhabitant	Nombre par habitant	Anzahl pro Einwohner	M			
NR_HHAB	Number per hundred inhabitants	Nombre par centaine d'habitants	Anzahl pro hundert Einwohner	M			
NR_HTHAB	Number per hundred thousand persons	Nombre par centaine de milliers de personnes	Anzahl pro hunderttausend Personen	M			
THS	Thousand	Millier	Tausend	Y			
MIO	Million	Million	Million	Y			
BN	Billion	Milliard	Milliarde	Y			
CT	Euro cent	Euro cent	Euro Cent	Y			
EUR	Euro	Euro	Euro	Y			
THS_EUR	Thousand euro	Milliers d'euros	Tausend Euro	Y			
MIO_EUR	Million euro	Millions d'euros	Millionen Euro	Y			
BN_EUR	Billion euro	Milliards d'euros	Milliarden Euro	Y			
MEUR_KP	Million euro at constant prices	Millions d'euros aux prix constants	Millionen Euro zu konstanten Preisen	M			
MEUR_KP21	Million euro (at constant 2021 prices)	Millions d'euros (aux prix constants de 2021)	Millionen Euro (zu konstanten Preisen von 2021)	M			
MEUR_KP15	Million euro (at constant 2015 prices)	Millions d'euros (aux prix constants de 2015)	Millionen Euro (zu konstanten Preisen von 2015)	M			
MEUR_KP10	Million euro (at constant 2010 prices)	Millions d'euros (aux prix constants de 2010)	Millionen Euro (zu konstanten Preisen von 2010)	M			
MEUR_KP00	Million euro (at constant 2000 prices)	Millions d'euros (aux prix constants de 2000)	Millionen Euro (zu konstanten Preisen von 2000)	M			
MEUR_KP_PRE	Million euro (at prices of the previous year)	Millions d'euros (aux prix de l'année précédente)	Millionen Euro (in Preisen gegenüber des Vorjahres)	M			
MEUR_CLV10	Million euro, chain-linked volumes, reference year 2010 (at 2010 exchange rates)	Millions d'euros, mesures de volume chaînées, année de référence 2010 (aux taux de change de 2010)	Millionen Euro, verkettete Volumen, Referenzjahr 2010 (in Wechselkursen von 2010)	M			
MEUR_CLV15	Million-euro, chain-linked volumes, reference year 2015	Millions d'euros, mesures de volume chaînées, année de référence 2015	Millionen Euro, verkettete Volumen, Referenzjahr 2015	M			
MEUR_NSA	Million euro (NSA)	Millions d'euros (NSA)	Millionen Euro (NSA)	M			
MIO_EUR_NSA	Million euro (NSA)	Millions d'euros (NSA)	Millionen Euro (NSA)	M			
MIO_EUR_SCA	Million euro (SCA)	Millions d'euros (SCA)	Millionen Euro (SCA)	M			
MIO-EUR-SA	Trade value - million of euro - seasonally and working day adjusted	Echanges commerciaux en valeur - millions euro - désaisonnalisés et corrigés des jours ouvrables	Handelswert - Millionen Euro - saisonbereinigt und arbeitstäglich bereinigt	M			
MIO-EUR-NSA	Trade value - million of euro - not seasonally adjusted	Echanges commerciaux en valeur - millions euro - non désaisonnalisés	Handelsbeziehungen in Werten - Millionen Euro - nicht saisonbereinigt	M			
EUR_BGDP	Euro per billion GDP	Euro par milliard du PIB	Euro pro Milliarde BIP	M			
EUR_KG	Euro per kilogram	Euro par kilogramme	Euro pro Kilogramm	M			
EUR_KGOE	Euro per kilogram of oil equivalent (KGOE)	Euros par kilogramme d'equivalent pétrole (KGEP)	Euro pro Kilogramm Rohöleinheit (KGRÖE)	M			
EUR_KG_CLV10	Euro per kilogram, chain linked volumes (2010)	Euro par kilogramme, volumes chaînés (2010)	Euro pro Kilogramm, verkettete Volumen (2010)	M			
EUR_KG_CLV15	Euro per kilogram, chain linked volumes (2015)	Euro par kilogramme, volumes chaînés (2015)	Euro pro Kilogramm, verkettete Volumen (2015)	M			
EUR_T	Euro per tonne	Euro par tonne	Euro pro Tonne	M			
EUR_TOE	Euro per tonne of oil equivalent (TOE)	Euro par tonne d'équivalent pétrole (TEP)	Euro pro Tonne Rohöleinheiten (TRÖE)	M			
EUR_GJ	Euro per gigajoule	Euro par gigajoule	Euro pro Gigajoule	M			
EUR_KWH	Euro per kilowatt-hour	Euro par kilowattheure	Euro pro Kilowattstunde	M			
EUR_HA	Euro per hectare	Euro par hectare	Euro pro Hektar	M			
EUR_HM2	Euro per hundred square metres	Euro par centaine de mètres carrés	Euro pro hundert Quadratmeter	M			
EUR_HD	Euro per head (animal)	Euro par tête (animal)	Euro pro Kopf (Tier)	M			
EUR_HHD	Euro per hundred heads (animals)	Euro par centaine de têtes (animals)	Euro pro hundert Köpfe (Tiere)	M			
EUR_HIVE	Euro per beehive	Euro par ruche (abeilles)	Euro pro Bienenstock	M			
EUR_HAB	Euro per inhabitant	Euro par habitant	Euro pro Einwohner	M			
EUR_HAB_EU	Euro per inhabitant in percentage of the EU average	Euro par habitant en pourcentage de la moyenne de l'UE	Euro pro Einwohner in Prozent des EU-Durchschnitts	M			
EUR_HAB_EU27_2020	Euro per inhabitant in percentage of the EU27 (from 2020) average	Euro par habitant en pourcentage de la moyenne de l'UE27 (à partir de 2020)	Euro pro Einwohner in Prozent des EU27-Durchschnitts (ab 2020)	M			
EUR_HAB_KP15	Euro per inhabitant (at constant 2015 prices)	Euro par habitant (aux prix constants de 2015)	Euro pro Einwohner (zu kostanten Preisen von 2015)	M			
EUR_HAB_KP10	Euro per inhabitant (at constant 2010 prices)	Euro par habitant (aux prix constants de 2010)	Euro pro Einwohner (zu kostanten Preisen von 2010)	M			
EUR_HAB_KP	Euro per inhabitant (at constant prices)	Euro par habitant (aux prix constants)	Euro pro Einwohner (zu kostanten Preisen)	M			
EUR_AE	Euro per adult equivalent	Euro par équivalent adulte	Euro pro Erwachsenenäquivalent	M			
EUR_HH	Euro per household	Euro par ménage	Euro pro Haushalt	M			
MEUR_HAB	Million euro per inhabitant	Millions d'euros par habitant	Millionen Euro pro Einwohner	M			
ECU	European currency unit (Ecu)	Unité monétaire européenne (Écu)	Europäische Währungseinheit (Ecu)	Y			
NAC	National currency	Monnaie nationale	Landeswährung	Y			
THS_NAC	Thousand units of national currency	Milliers d'unités de monnaie nationale	Tausend Einheiten Landeswährung	Y			
MIO_NAC	Million units of national currency	Millions d'unités de monnaie nationale	Millionen Einheiten Landeswährung	Y			
BN_NAC	Billion units of national currency	Milliards d'unités de monnaie nationale	Milliarden Einheiten Landeswährung	Y			
MNAC_KP15	Million units of national currency at constant 2015 prices	Millions de monnaie nationale aux prix constants de 2015	Millionen in Landeswährung zu konstanten Preisen von 2015	M			
MNAC_KP10	Million units of national currency at constant 2010 prices	Millions de monnaie nationale aux prix constants de 2010	Millionen in Landeswährung zu konstanten Preisen von 2010	M			
NAC_T	National currency per tonne	Monnaie nationale par tonne	Landeswährung pro Tonne	M			
NAC_HA	National currency per hectare	Monnaie nationale par hectare	Landeswährung pro Hektar	M			
NAC_THS_KWH	National currency per 1000 kWh	Monnaie nationale par millier kWh	Landeswährung pro tausend kWh	M			
NAC_HL	National currency per 100 litre	Monnaie nationale par 100 litres	Landeswährung pro 100 Liter	M			
NAC_HAB	National currency per inhabitant	Monnaie nationale par habitant	Landeswährung pro Einwohner	M			
NAC_AE	National currency per adult equivalent	Monnaie nationale par équivalent adulte	Landeswährung pro Erwachsenenäquivalent	M			
NAC_HH	National currency per household	Monnaie nationale par ménage	Landeswährung pro Haushalt	M			
NAT	National currency (former currencies of the euro area countries)	Monnaie nationale (anciennes monnaies des pays de la zone euro)	Landeswährung (frühere Währungen der Länder des Euroraums)	Y			
